"","Trump","Clinton","Other","Undecided","poll_slug","survey_house","start_date","end_date","question_text","sample_subpopulation","observations","margin_of_error","mode","partisanship","partisan_affiliation"
"183",38,38,16,2,"rasmussen-24400","Rasmussen",2016-04-25,2016-04-26,NA,"Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
"184",40,43,5,13,"yougov-economist-24390","YouGov/Economist",2016-04-22,2016-04-26,NA,"Registered Voters",1561,NA,"Internet","Nonpartisan","None"
"185",39,50,NA,10,"suffolk-usa-today-24356","Suffolk/USA Today",2016-04-20,2016-04-24,NA,"Likely Voters",1000,3,"Live Phone","Nonpartisan","None"
"186",36,44,NA,20,"nbc-surveymonkey-24362","NBC/SurveyMonkey",2016-04-18,2016-04-24,NA,"Registered Voters",9405,1.4,"Internet","Nonpartisan","None"
"187",40,46,NA,15,"morning-consult-24410","Morning Consult",2016-04-20,2016-04-22,NA,"Registered Voters",2003,2,"Internet","Nonpartisan","None"
"188",40,47,NA,14,"zogby-internet--24393","Zogby (Internet)",2016-04-19,2016-04-20,NA,"Likely Voters",834,3.5,"Internet","Nonpartisan","None"
"189",43,46,NA,11,"gwu-battleground-24342","GWU/Battleground",2016-04-17,2016-04-20,NA,"Likely Voters",1000,3.1,"Live Phone","Nonpartisan","None"
"190",33,44,12,12,"ipsos-reuters-24323","Ipsos/Reuters",2016-04-16,2016-04-20,NA,"Registered Voters",1334,NA,"Internet","Nonpartisan","None"
"191",37,46,NA,17,"morning-consult-24302","Morning Consult",2016-04-15,2016-04-17,NA,"Registered Voters",2032,2,"Internet","Nonpartisan","None"
"192",39,48,NA,13,"nbc-surveymonkey-24307","NBC/SurveyMonkey",2016-04-11,2016-04-17,NA,"Registered Voters",11498,1.3,"Internet","Nonpartisan","None"
"193",39,50,9,2,"nbc-wsj-24305","NBC/WSJ",2016-04-10,2016-04-14,NA,"Registered Voters",1000,3.1,"Live Phone","Nonpartisan","None"
"194",41,48,2,8,"fox-24280","FOX",2016-04-11,2016-04-13,NA,"Registered Voters",1021,3,"Live Phone","Nonpartisan","None"
"195",34,43,15,7,"ipsos-reuters-24278","Ipsos/Reuters",2016-04-09,2016-04-13,NA,"Registered Voters",1424,NA,"Internet","Nonpartisan","None"
"196",40,50,1,8,"cbs-24282","CBS",2016-04-08,2016-04-12,NA,"Registered Voters",1098,NA,"Live Phone","Nonpartisan","None"
"197",37,46,NA,16,"morning-consult-24311","Morning Consult",2016-04-08,2016-04-11,NA,"Registered Voters",4015,2,"Internet","Nonpartisan","None"
"198",36,43,0,21,"nbc-surveymonkey-24251","NBC/SurveyMonkey",2016-04-04,2016-04-10,NA,"Registered Voters",11204,1.3,"Internet","Nonpartisan","None"
"199",34,39,16,11,"ipsos-reuters-24232","Ipsos/Reuters",2016-04-02,2016-04-06,NA,"Registered Voters",1325,NA,"Internet","Nonpartisan","None"
"200",38,45,NA,17,"morning-consult-24207","Morning Consult",2016-04-01,2016-04-03,NA,"Registered Voters",2004,2,"Internet","Nonpartisan","None"
"201",33,45,NA,21,"nbc-surveymonkey-24206","NBC/SurveyMonkey",2016-03-28,2016-04-03,NA,"Registered Voters",12116,NA,"Internet","Nonpartisan","None"
"202",35,47,9,9,"ibd-tipp-24194","IBD/TIPP",2016-03-28,2016-04-02,NA,"Registered Voters",819,NA,"Live Phone","Nonpartisan","None"
"203",41,50,NA,9,"mcclatchy-marist-24230","McClatchy/Marist",2016-03-29,2016-03-31,NA,"Registered Voters",1066,3,"Live Phone","Nonpartisan","None"
"204",32,45,13,9,"ipsos-reuters-24179","Ipsos/Reuters",2016-03-27,2016-03-31,NA,"Registered Voters",1580,NA,"Internet","Nonpartisan","None"
"205",41,45,6,7,"yougov-economist-24181","YouGov/Economist",2016-03-26,2016-03-29,NA,"Registered Voters",1613,NA,"Internet","Nonpartisan","None"
"206",41,48,NA,11,"ppp-d--24178","PPP (D)",2016-03-24,2016-03-26,NA,"Likely Voters",1083,3,"IVR/Online","Pollster","Dem"
"207",38,44,NA,18,"morning-consult-24158","Morning Consult",2016-03-24,2016-03-26,NA,"Registered Voters",2071,2,"Internet","Nonpartisan","None"
"208",40,53,1,6,"gqr-d-democracy-corps-women-s-voices-women-vote--24187","GQR (D-Democracy Corps/Women's Voices Women Vote)",2016-03-17,2016-03-24,NA,"Likely Voters",900,3.27,"Live Phone","Sponsor","Dem"
"209",35,43,9,13,"ipsos-reuters-24148","Ipsos/Reuters",2016-03-19,2016-03-23,NA,"Registered Voters",1311,NA,"Internet","Nonpartisan","None"
"210",41,48,NA,12,"mclaughlin-r--24168","McLaughlin (R)",2016-03-17,2016-03-23,NA,"Likely Voters",1002,3.1,"Internet","Pollster","Rep"
"211",38,49,2,11,"fox-24141","FOX",2016-03-20,2016-03-22,NA,"Registered Voters",1016,3,"Live Phone","Nonpartisan","None"
"212",36,54,NA,9,"bloomberg-selzer-24140","Bloomberg/Selzer",2016-03-19,2016-03-22,NA,"Likely Voters",815,3.4,"Live Phone","Nonpartisan","None"
"213",38,45,NA,18,"morning-consult-24122","Morning Consult",2016-03-18,2016-03-21,NA,"Registered Voters",2001,2,"Internet","Nonpartisan","None"
"214",40,46,3,11,"quinnipiac-24134","Quinnipiac",2016-03-16,2016-03-21,NA,"Registered Voters",1451,2.7,"Live Phone","Nonpartisan","None"
"215",38,48,2,12,"monmouth-university-24144","Monmouth University",2016-03-17,2016-03-20,NA,"Registered Voters",848,3.4,"Live Phone","Nonpartisan","None"
"216",40,50,1,9,"cbs-times-24128","CBS/Times",2016-03-17,2016-03-20,NA,"Registered Voters",1058,3,"Live Phone","Nonpartisan","None"
"217",41,53,6,0,"cnn-24127","CNN",2016-03-17,2016-03-20,NA,"Registered Voters",925,3,"Live Phone","Nonpartisan","None"
"218",37,42,13,8,"ipsos-reuters-24103","Ipsos/Reuters",2016-03-12,2016-03-16,NA,"Registered Voters",1437,NA,"Internet","Nonpartisan","None"
"219",37,47,NA,16,"morning-consult-24088","Morning Consult",2016-03-11,2016-03-13,NA,"Registered Voters",2978,NA,"Internet","Nonpartisan","None"
"220",42,43,8,7,"yougov-economist-24084","YouGov/Economist",2016-03-10,2016-03-12,NA,"Registered Voters",1647,NA,"Internet","Nonpartisan","None"
"221",31,45,13,11,"ipsos-reuters-24040","Ipsos/Reuters",2016-03-05,2016-03-09,NA,"Registered Voters",1594,NA,"Internet","Nonpartisan","None"
"222",38,46,NA,16,"morning-consult-24011","Morning Consult",2016-03-04,2016-03-06,NA,"Registered Voters",1516,NA,"Internet","Nonpartisan","None"
"223",38,51,9,2,"nbc-wsj-24016","NBC/WSJ",2016-03-03,2016-03-06,NA,"Registered Voters",1200,2.83,"Live Phone","Nonpartisan","None"
"224",41,50,4,6,"abc-post-24009","ABC/Post",2016-03-03,2016-03-06,NA,"Registered Voters",864,4,"Live Phone","Nonpartisan","None"
"225",35,46,10,10,"ipsos-reuters-23970","Ipsos/Reuters",2016-02-27,2016-03-02,NA,"Registered Voters",1381,NA,"Internet","Nonpartisan","None"
"226",36,41,21,3,"rasmussen-23960","Rasmussen",2016-02-29,2016-03-01,NA,"Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
"227",43,44,NA,13,"morning-consult-23918","Morning Consult",2016-02-26,2016-02-27,NA,"Registered Voters",1182,2,"Internet","Nonpartisan","None"
"228",44,52,4,NA,"cnn-23952","CNN",2016-02-24,2016-02-27,NA,"Registered Voters",920,3,"Live Phone","Nonpartisan","None"
"229",35,44,10,11,"ipsos-reuters-23865","Ipsos/Reuters",2016-02-20,2016-02-24,NA,"Registered Voters",1246,NA,"Internet","Nonpartisan","None"
"230",42,47,2,8,"fox-23803","FOX",2016-02-15,2016-02-17,NA,"Registered Voters",1031,3,"Live Phone","Nonpartisan","None"
"231",37,44,10,9,"ipsos-reuters-23811","Ipsos/Reuters",2016-02-13,2016-02-17,NA,"Registered Voters",1213,NA,"Internet","Nonpartisan","None"
"232",42,43,NA,16,"morning-consult-23766","Morning Consult",2016-02-15,2016-02-16,NA,"Registered Voters",883,NA,"Internet","Nonpartisan","None"
"233",40,50,9,1,"nbc-wsj-23801","NBC/WSJ",2016-02-14,2016-02-16,NA,"Registered Voters",800,3.5,"Live Phone","Nonpartisan","None"
"234",45,43,NA,14,"suffolk-usa-today-23779","Suffolk/USA Today",2016-02-11,2016-02-15,NA,"Likely Voters",1000,3,"Live Phone","Nonpartisan","None"
"235",43,44,3,10,"quinnipiac-23790","Quinnipiac",2016-02-10,2016-02-15,NA,"Registered Voters",1342,2.7,"Live Phone","Nonpartisan","None"
"236",34,44,11,10,"ipsos-reuters-23740","Ipsos/Reuters",2016-02-06,2016-02-10,NA,"Registered Voters",1337,NA,"Internet","Nonpartisan","None"
"237",40,45,NA,15,"morning-consult-23731","Morning Consult",2016-02-03,2016-02-07,NA,"Registered Voters",2197,NA,"Internet","Nonpartisan","None"
"238",41,46,3,10,"quinnipiac-23675","Quinnipiac",2016-02-02,2016-02-04,NA,"Registered Voters",1125,2.9,"Live Phone","Nonpartisan","None"
"239",40,47,NA,13,"ppp-d--23727","PPP (D)",2016-02-02,2016-02-03,NA,"Likely Voters",1236,NA,"IVR/Online","Pollster","Dem"
"240",36,44,9,10,"ipsos-reuters-23665","Ipsos/Reuters",2016-01-30,2016-02-03,NA,"Registered Voters",1434,NA,"Internet","Nonpartisan","None"
"241",39,45,NA,16,"morning-consult-23600","Morning Consult",2016-01-21,2016-01-24,NA,"Registered Voters",4001,2,"Internet","Nonpartisan","None"
"242",47,48,5,0,"cnn-23592","CNN",2016-01-21,2016-01-24,NA,"Registered Voters",907,3.5,"Live Phone","Nonpartisan","None"
"243",45,45,NA,10,"zogby-internet--23594","Zogby (Internet)",2016-01-19,2016-01-20,NA,"Likely Voters",843,3.2,"Internet","Nonpartisan","None"
"244",42,44,NA,14,"morning-consult-23526","Morning Consult",2016-01-14,2016-01-17,NA,"Registered Voters",4060,2,"Internet","Nonpartisan","None"
"245",41,51,NA,NA,"nbc-wsj-23507","NBC/WSJ",2016-01-09,2016-01-13,NA,"Registered Voters",800,3.5,"Live Phone","Nonpartisan","None"
"246",51,49,NA,NA,"gravis-marketing-oann-23477","Gravis Marketing/OANN",2016-01-10,2016-01-10,NA,"Registered Voters",2416,2,"Automated Phone","Sponsor","Rep"
"247",44,42,NA,14,"morning-consult-23500","Morning Consult",2016-01-08,2016-01-10,NA,"Registered Voters",2173,2,"Internet","Nonpartisan","None"
"248",47,44,2,7,"fox-23457","FOX",2016-01-04,2016-01-07,NA,"Registered Voters",1006,3,"Live Phone","Nonpartisan","None"
"249",36,37,22,5,"rasmussen-23421","Rasmussen",2015-12-22,2015-12-23,NA,"Likely Voters",1000,3,"IVR/Online","Nonpartisan","None"
"250",47,49,4,NA,"cnn-23412","CNN",2015-12-17,2015-12-21,NA,"Registered Voters",927,3,"Live Phone","Nonpartisan","None"
"251",46,48,NA,7,"emerson-college-polling-society-23395","Emerson College Polling Society",2015-12-17,2015-12-20,NA,"Registered Voters",754,3.5,"Automated Phone","Nonpartisan","None"
"252",40,47,2,11,"quinnipiac-23400","Quinnipiac",2015-12-16,2015-12-20,NA,"Registered Voters",1140,2.9,"Live Phone","Nonpartisan","None"
"253",43,46,NA,11,"ppp-d--23396","PPP (D)",2015-12-16,2015-12-17,NA,"Likely Voters",1267,NA,"IVR/Online","Pollster","Dem"
"254",38,49,3,10,"fox-23385","FOX",2015-12-16,2015-12-17,NA,"Registered Voters",1013,3,"Live Phone","Nonpartisan","None"
"255",41,46,NA,13,"morning-consult-23333","Morning Consult",2015-12-11,2015-12-15,NA,"Registered Voters",4038,2,"Internet","Nonpartisan","None"
"256",44,50,4,3,"abc-post-23326","ABC/Post",2015-12-10,2015-12-13,NA,"Registered Voters",851,4,"Live Phone","Nonpartisan","None"
"257",40,50,8,2,"nbc-wsj-23315","NBC/WSJ",2015-12-06,2015-12-09,NA,"Registered Voters",849,3.6,"Live Phone","Nonpartisan","None"
"258",49,51,NA,NA,"gravis-marketing-oann-23300","Gravis Marketing/OANN",2015-12-07,2015-12-08,NA,"Registered Voters",1995,2.2,"Automated Phone","Sponsor","Rep"
"259",45,40,NA,15,"morning-consult-23281","Morning Consult",2015-12-03,2015-12-07,NA,"Registered Voters",2047,2,"Internet","Nonpartisan","None"
"260",44,47,NA,8,"suffolk-usa-today-23278","Suffolk/USA Today",2015-12-02,2015-12-06,NA,"Likely Voters",1000,3,"Live Phone","Nonpartisan","None"
"261",37,51,NA,NA,"saint-leo-university-23287","Saint Leo University",2015-11-29,2015-12-03,NA,"Likely Voters",746,NA,"Internet","Nonpartisan","None"
"262",41,52,NA,6,"msnbc-telemundo-marist-23269","MSNBC/Telemundo/Marist",2015-11-15,2015-12-02,NA,"Registered Voters",2360,2,"Live Phone","Sponsor","Other"
"263",46,49,4,0,"cnn-23262","CNN",2015-11-27,2015-12-01,NA,"Registered Voters",930,3,"Live Phone","Nonpartisan","None"
"264",41,47,2,10,"quinnipiac-23247","Quinnipiac",2015-11-23,2015-11-30,NA,"Registered Voters",1453,2.6,"Live Phone","Nonpartisan","None"
"265",46,41,2,12,"fox-23216","FOX",2015-11-16,2015-11-19,NA,"Registered Voters",1016,3,"Live Phone","Nonpartisan","None"
"266",44,45,NA,11,"ppp-d--23175","PPP (D)",2015-11-16,2015-11-17,NA,"Likely Voters",1360,2.7,"IVR/Online","Pollster","Dem"
"267",43,44,NA,14,"morning-consult-23158","Morning Consult",2015-11-13,2015-11-16,NA,"Registered Voters",2001,2,"Internet","Nonpartisan","None"
"268",43,43,NA,14,"morning-consult-23107","Morning Consult",2015-11-05,2015-11-08,NA,"Registered Voters",4002,2,"Internet","Nonpartisan","None"
"269",41,56,NA,3,"mcclatchy-marist-23096","McClatchy/Marist",2015-10-29,2015-11-04,NA,"Registered Voters",541,4.2,"Live Phone","Nonpartisan","None"
"270",43,46,2,9,"quinnipiac-23059","Quinnipiac",2015-10-29,2015-11-02,NA,"Registered Voters",1144,2.9,"Live Phone","Nonpartisan","None"
"271",44,44,NA,12,"morning-consult-23056","Morning Consult",2015-10-29,2015-11-01,NA,"Registered Voters",2350,2,"Internet","Nonpartisan","None"
"272",37,41,16,6,"zogby-internet--23091","Zogby (Internet)",2015-10-30,2015-10-31,NA,"Likely Voters",1002,5,"Internet","Nonpartisan","None"
"273",42,50,6,2,"nbc-wsj-23071","NBC/WSJ",2015-10-25,2015-10-29,NA,"Adults",1000,3,"Live Phone","Nonpartisan","None"
"274",49,51,NA,NA,"gravis-marketing-oann-23005","Gravis Marketing/OANN",2015-10-26,2015-10-26,NA,"Registered Voters",2606,2,"Automated Phone","Sponsor","Rep"
"275",43,43,NA,14,"morning-consult-22994","Morning Consult",2015-10-22,2015-10-25,NA,"Registered Voters",1689,2,"Internet","Nonpartisan","None"
"276",38,47,NA,NA,"saint-leo-university-23025","Saint Leo University",2015-10-17,2015-10-22,NA,"Likely Voters",764,3.5,"Internet","Nonpartisan","None"
"277",41,44,NA,14,"morning-consult-22950","Morning Consult",2015-10-15,2015-10-19,NA,"Registered Voters",2017,2,"Internet","Nonpartisan","None"
"278",46,44,NA,10,"emerson-college-polling-society-22951","Emerson College Polling Society",2015-10-16,2015-10-17,NA,"Registered Voters",783,3.4,"Automated Phone","Nonpartisan","None"
"279",45,50,6,0,"cnn-22934","CNN",2015-10-14,2015-10-17,NA,"Registered Voters",936,NA,"Live Phone","Nonpartisan","None"
"280",45,40,4,10,"fox-22904","FOX",2015-10-10,2015-10-12,NA,"Registered Voters",1004,3,"Live Phone","Nonpartisan","None"
"281",41,43,NA,16,"morning-consult-22902","Morning Consult",2015-10-08,2015-10-12,NA,"Registered Voters",2002,2,"Internet","Nonpartisan","None"
"282",43,41,NA,16,"morning-consult-22858","Morning Consult",2015-10-02,2015-10-05,NA,"Registered Voters",1983,2,"Internet","Nonpartisan","None"
"283",44,44,NA,12,"ppp-d--22856","PPP (D)",2015-10-01,2015-10-04,NA,"Likely Voters",1338,2.7,"IVR/Online","Pollster","Dem"
"284",52,48,NA,NA,"gravis-marketing-oann-22863","Gravis Marketing/OANN",2015-09-30,2015-10-01,NA,"Registered Voters",2665,1.9,"Automated Phone","Sponsor","Rep"
"285",42,45,NA,13,"morning-consult-22814","Morning Consult",2015-09-24,2015-09-27,NA,"Registered Voters",1543,2,"Internet","Nonpartisan","None"
"286",39,49,10,2,"nbc-wsj-22808","NBC/WSJ",2015-09-20,2015-09-24,NA,"Adults",1000,3.1,"Live Phone","Nonpartisan","None"
"287",42,46,3,9,"fox-22789","FOX",2015-09-20,2015-09-22,NA,"Registered Voters",1013,3,"Live Phone","Nonpartisan","None"
"288",43,45,2,10,"quinnipiac-22788","Quinnipiac",2015-09-17,2015-09-21,NA,"Registered Voters",1574,2.5,"Live Phone","Nonpartisan","None"
"289",41,45,NA,14,"morning-consult-22772","Morning Consult",2015-09-18,2015-09-20,NA,"Registered Voters",4033,2,"Internet","Nonpartisan","None"
"290",40,44,NA,16,"morning-consult-22752","Morning Consult",2015-09-11,2015-09-13,NA,"Registered Voters",2023,2,"Internet","Nonpartisan","None"
"291",43,46,7,5,"abc-post-22720","ABC/Post",2015-09-07,2015-09-10,NA,"Registered Voters",821,4,"Live Phone","Nonpartisan","None"
"292",40,53,NA,7,"msnbc-telemundo-marist-22763","MSNBC/Telemundo/Marist",2015-08-26,2015-09-09,NA,"Registered Voters",1115,2.9,"Live Phone","Sponsor","Other"
"293",47,43,NA,11,"emerson-college-polling-society-22699","Emerson College Polling Society",2015-09-05,2015-09-08,NA,"Likely Voters",955,3.1,"Automated Phone","Nonpartisan","None"
"294",48,48,3,0,"cnn-22704","CNN",2015-09-04,2015-09-08,NA,"Registered Voters",930,3,"Live Phone","Nonpartisan","None"
"295",43,42,NA,15,"morning-consult-22703","Morning Consult",2015-09-04,2015-09-07,NA,"Registered Voters",2008,2,"Internet","Nonpartisan","None"
"296",45,40,NA,16,"surveyusa-22683","SurveyUSA",2015-09-02,2015-09-03,NA,"Registered Voters",900,3.3,"IVR/Online","Nonpartisan","None"
"297",44,46,NA,11,"ppp-d--22654","PPP (D)",2015-08-28,2015-08-30,NA,"Likely Voters",1254,2.8,"IVR/Online","Pollster","Dem"
"298",42,43,NA,15,"morning-consult-22640","Morning Consult",2015-08-28,2015-08-30,NA,"Registered Voters",2015,2,"Internet","Nonpartisan","None"
"299",41,45,3,11,"quinnipiac-22620","Quinnipiac",2015-08-20,2015-08-25,NA,"Registered Voters",1563,2.5,"Live Phone","Nonpartisan","None"
"300",54,46,NA,NA,"gravis-marketing-oann-22623","Gravis Marketing/OANN",2015-08-21,2015-08-22,NA,"Registered Voters",3567,2,"Automated Phone","Sponsor","Rep"
"301",45,51,4,0,"cnn-22576","CNN",2015-08-13,2015-08-16,NA,"Registered Voters",897,3.5,"Live Phone","Nonpartisan","None"
"302",42,47,2,10,"fox-22563","FOX",2015-08-11,2015-08-13,NA,"Registered Voters",1008,3,"Live Phone","Nonpartisan","None"
"303",29,43,11,17,"ipsos-reuters-22529","Ipsos/Reuters",2015-08-06,2015-08-10,NA,"Adults",823,4.4,"Internet","Nonpartisan","None"
"304",41,47,NA,13,"morning-consult-22526","Morning Consult",2015-08-07,2015-08-09,NA,"Registered Voters",2029,2,"Internet","Nonpartisan","None"
"305",49,50,NA,NA,"gravis-marketing-oann-22496","Gravis Marketing/OANN",2015-07-31,2015-08-01,NA,"Registered Voters",3477,2,"Automated Phone","Sponsor","Rep"
"306",40,49,NA,12,"emerson-college-polling-society-22537","Emerson College Polling Society",2015-07-26,2015-07-28,NA,"Likely Voters",950,3.4,"Automated Phone","Nonpartisan","None"
"307",36,48,4,12,"quinnipiac-22459","Quinnipiac",2015-07-23,2015-07-28,NA,"Registered Voters",1644,2.4,"Live Phone","Nonpartisan","None"
"308",38,54,NA,8,"mcclatchy-marist-22466","McClatchy/Marist",2015-07-22,2015-07-28,NA,"Registered Voters",964,3.2,"Live Phone","Nonpartisan","None"
"309",40,56,4,0,"cnn-22434","CNN",2015-07-22,2015-07-25,NA,"Registered Voters",898,3.5,"Live Phone","Nonpartisan","None"
"310",37,50,NA,13,"ppp-d--22415","PPP (D)",2015-07-20,2015-07-21,NA,"Likely Voters",1087,3,"IVR/Online","Pollster","Dem"
"311",34,51,NA,16,"suffolk-usa-today-22380","Suffolk/USA Today",2015-07-09,2015-07-12,NA,"Likely Voters",1000,3,"Live Phone","Nonpartisan","None"
"312",35,59,6,0,"cnn-22330","CNN",2015-06-26,2015-06-28,NA,"Registered Voters",890,3.5,"Live Phone","Nonpartisan","None"
"313",34,51,3,12,"fox-22300","FOX",2015-06-21,2015-06-23,NA,"Registered Voters",1005,3,"Live Phone","Nonpartisan","None"
"314",35,46,NA,18,"yougov-economist-22307","YouGov/Economist",2015-06-20,2015-06-22,NA,"Registered Voters",869,NA,"Internet","Nonpartisan","None"
"315",32,50,3,14,"quinnipiac-22181","Quinnipiac",2015-05-19,2015-05-26,NA,"Registered Voters",1711,2.4,"Live Phone","Nonpartisan","None"
